start: 2010-02-18 ,end: 2010-03-18
symbol,mean,std-deviation,z-value,lookback years
ESRX,0.0713894762689,0.0573201163318,1.24545239678,10
AMD,0.162883171098,0.130899105685,1.2443413593,10
HAL,0.0826606387872,0.0665004672915,1.24300839007,10
AKS,0.107680029435,0.0867693134007,1.24099206522,10
ROP,0.0679353721843,0.0547670706941,1.24044195396,10
RIMM,0.154083942981,0.124838374492,1.23426745668,10
PDCO,0.0659196471538,0.0535855119244,1.23017667997,10
QCOM,0.0840911518243,0.06837831268,1.22979273001,10
MHP,0.0350219515845,0.0285486045557,1.22674828173,10
COP,0.0517062852708,0.0421609735281,1.22640159711,10
PBG,0.0283195348568,0.0231538839788,1.22310083625,10
LEN,0.139246381169,0.114100254664,1.22038624347,10
MAT,0.0469343252098,0.0385731315431,1.21676211737,10
AMGN,0.040937944022,0.0337978240757,1.21125975241,10
DNB,0.0562875104369,0.046615249087,1.20749135829,10
WLP,0.0544356969191,0.0451164906213,1.20655875866,8
FLR,0.122844417326,0.102051810695,1.20374559245,9
RDC,0.125709238936,0.104823999879,1.19924100475,10
CNX,0.100022579888,0.0835413526828,1.19728226413,10
PFG,0.0358524143074,0.0301401695906,1.18952264683,8
TIF,0.121660605577,0.102360824331,1.1885465594,10
SHLD,0.14937501309,0.125736152329,1.18800369124,6
NOV,0.124283926882,0.105152009988,1.1819453275,10
MAR,0.0542002534036,0.0458592532042,1.18188259984,10
CRM,0.154708050312,0.131014848193,1.18084364059,5
X,0.0645161387089,0.0547707557195,1.17793040942,10
PPL,0.0431266520459,0.0368857820104,1.1691944618,10
CAT,0.0712933109684,0.0610953530846,1.16691871589,10
PCAR,0.0614410200968,0.052709155548,1.16566124913,10
CMS,0.0504401500457,0.0437794044804,1.15214335701,10
SIAL,0.0371656043337,0.0325206986752,1.14282920871,10
CTXS,0.12614951865,0.110795540949,1.13857938297,10
LLL,0.0585316275165,0.051455914847,1.13751019082,10
HCBK,0.0549096875515,0.0483711944972,1.13517328076,10
CAH,0.0327391062029,0.0288513486055,1.13475133002,10
BDK,0.0512606431554,0.0453182252385,1.13112644826,10
VZ,0.046594912046,0.0412800642564,1.12875095728,10
GPS,0.056901455492,0.0504784378042,1.12724279846,10
DHR,0.0489131699816,0.0436660890699,1.12016374774,10
ISRG,0.0648643277644,0.0580492895569,1.11740088913,9
PEG,0.0363662427889,0.0325524031411,1.11716000294,10
ADI,0.0905063111471,0.0815439098675,1.10990889809,10
GT,0.0770643743211,0.0695068058353,1.10873134501,10
AMAT,0.0888039187959,0.0802590504768,1.10646610281,10
BBBY,0.077720104594,0.0704102018711,1.10381880081,10
CMCSA,0.0694552729787,0.0632063204616,1.09886594365,10
GAS,0.0292330515552,0.0266908726724,1.09524525159,10
MCK,0.0263748203409,0.0243255497323,1.08424354767,10
LRCX,0.104212050677,0.096158428584,1.0837536783,10
YUM,0.0662969226546,0.0612409805564,1.08255815064,10
XEL,0.0417618044104,0.0385878363985,1.08225307009,10
KFT,0.0191783043038,0.0177215189778,1.08220431487,8
MTB,0.070552642249,0.0653220859004,1.08007332094,10
NDAQ,0.0738993385054,0.0688301821968,1.07364728883,7
MHS,0.0580140226312,0.0540823736674,1.07269741872,6
NTRS,0.0593461366018,0.0554026548577,1.07117856995,10
ETR,0.0334021918113,0.0312018684867,1.07051896028,10
TGT,0.067956834779,0.0635795606197,1.06884719109,10
TIE,0.125978876159,0.117881643332,1.06868951432,10
BIG,0.141232337999,0.133088547986,1.06119076462,10
DRI,0.0949107934138,0.0894749301129,1.06075292033,10
LXK,0.059507510488,0.0563242480148,1.05651673276,10
AA,0.0420081525223,0.0397875658815,1.05581107041,10
NVLS,0.108459613775,0.102741233515,1.05565808454,10
MA,0.015635963279,0.0148455212149,1.05324448045,3
NBL,0.0998056725122,0.0950491041952,1.0500432735,10
MXIM,0.0871238080877,0.0832017651738,1.04713893877,10
LLTC,0.0781132313562,0.0746196340205,1.04681874123,10
AEP,0.0359261701105,0.0343419623688,1.04613037906,10
INTU,0.126144980518,0.120690042431,1.04519791341,10
PFE,0.0301118917773,0.0289727385748,1.03931810587,10
PLL,0.0997420102276,0.0960335151457,1.0386166754,10
